species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,48.5,17.6,216.0,4250.0,FEMALE
Adelie,Dream,42.1,16.5,201.0,3950.0,MALE
Gentoo,Torgersen,58.0,14.2,205.0,3450.0,FEMALE
Gentoo,Dream,36.7,19.3,210.0,4450.0,MALE
Gentoo,Torgersen,45.2,17.8,217.0,3475.0,FEMALE
Adelie,Torgersen,52.0,19.2,208.0,5000.0,FEMALE
Adelie,Torgersen,38.2,16.6,195.0,4450.0,FEMALE
Adelie,Torgersen,49.8,16.8,198.0,4275.0,FEMALE
Gentoo,Dream,50.5,14.5,219.0,3275.0,MALE
Adelie,Biscoe,43.2,16.8,186.0,3900.0,MALE
Adelie,Torgersen,49.0,17.1,210.0,5150.0,MALE
Gentoo,Biscoe,59.6,18.7,200.0,3475.0,FEMALE
Gentoo,Biscoe,41.8,13.7,192.0,3325.0,FEMALE
Adelie,Dream,45.5,19.5,215.0,4625.0,MALE
Chinstrap,Biscoe,49.5,18.6,208.0,5750.0,FEMALE
Gentoo,Biscoe,43.2,18.2,215.0,5800.0,MALE
Gentoo,Biscoe,41.1,18.9,190.0,3750.0,FEMALE
Adelie,Torgersen,46.3,16.9,214.0,3950.0,MALE
Chinstrap,Dream,39.6,18.9,219.0,3650.0,FEMALE
Chinstrap,Dream,51.1,16.3,210.0,3800.0,MALE
Adelie,Biscoe,38.8,18.5,195.0,4350.0,FEMALE
Chinstrap,Dream,43.1,16.1,213.0,3600.0,MALE
Adelie,Biscoe,51.7,19.5,190.0,4075.0,MALE
Chinstrap,Dream,45.7,18.9,216.0,4250.0,FEMALE
Gentoo,Torgersen,51.3,14.4,196.0,3850.0,MALE
Chinstrap,Biscoe,42.4,15.0,212.0,3800.0,MALE
Adelie,Dream,42.7,18.8,187.0,3950.0,MALE
Gentoo,Torgersen,44.5,16.3,191.0,4000.0,FEMALE
Chinstrap,Biscoe,44.1,13.9,178.0,3150.0,FEMALE
Adelie,Torgersen,48.8,14.4,193.0,3350.0,FEMALE
Gentoo,Dream,39.2,20.1,196.0,3250.0,MALE
Chinstrap,Dream,35.3,18.7,193.0,3950.0,FEMALE
Adelie,Dream,55.8,13.8,187.0,4500.0,MALE
Adelie,Dream,45.8,17.3,195.0,5550.0,FEMALE
Adelie,Dream,34.5,17.7,230.0,3200.0,MALE
Adelie,Biscoe,45.4,18.8,216.0,4600.0,MALE
Adelie,Torgersen,39.6,15.0,210.0,5250.0,MALE
Gentoo,Torgersen,46.1,18.6,187.0,4150.0,MALE
Adelie,Dream,33.1,18.5,225.0,5550.0,FEMALE
Chinstrap,Torgersen,46.5,15.6,187.0,4100.0,FEMALE
Adelie,Torgersen,36.5,17.6,196.0,6000.0,MALE
Gentoo,Dream,45.2,13.7,178.0,4375.0,MALE
Adelie,Biscoe,41.1,18.1,184.0,4900.0,MALE
Chinstrap,Dream,36.4,15.5,195.0,4050.0,MALE
Gentoo,Torgersen,51.5,16.3,187.0,3300.0,MALE
Gentoo,Biscoe,51.9,14.5,196.0,4600.0,MALE
Gentoo,Dream,45.5,18.5,210.0,3900.0,MALE
Chinstrap,Biscoe,40.3,19.8,188.0,3450.0,MALE
Gentoo,Biscoe,50.0,14.3,201.0,3500.0,FEMALE
Gentoo,Biscoe,39.7,18.9,219.0,3875.0,MALE
