species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,37.8,17.1,185.0,4550.0,MALE
Gentoo,Biscoe,50.4,18.3,221.0,4300.0,FEMALE
Chinstrap,Torgersen,44.9,13.7,192.0,5500.0,FEMALE
Adelie,Dream,49.6,16.0,189.0,3650.0,FEMALE
Adelie,Torgersen,35.5,18.1,187.0,5400.0,FEMALE
Gentoo,Torgersen,47.5,17.1,190.0,4650.0,FEMALE
Adelie,Dream,47.2,18.6,195.0,5200.0,MALE
Adelie,Torgersen,36.0,17.5,185.0,4950.0,FEMALE
Chinstrap,Torgersen,38.7,17.2,203.0,3325.0,MALE
Chinstrap,Torgersen,46.8,14.4,190.0,2850.0,MALE
Gentoo,Biscoe,45.9,15.0,210.0,3300.0,FEMALE
Chinstrap,Biscoe,50.2,18.2,187.0,3800.0,FEMALE
Chinstrap,Torgersen,40.8,15.7,220.0,3500.0,MALE
Gentoo,Biscoe,44.9,14.5,203.0,3900.0,FEMALE
Adelie,Torgersen,40.2,14.3,191.0,4600.0,MALE
Gentoo,Biscoe,37.2,15.8,191.0,5200.0,MALE
Gentoo,Biscoe,35.5,18.9,189.0,4200.0,FEMALE
Adelie,Dream,41.1,18.6,195.0,5650.0,MALE
Gentoo,Dream,37.5,17.2,215.0,5300.0,MALE
Chinstrap,Dream,36.5,14.2,185.0,4050.0,MALE
Adelie,Torgersen,49.6,14.0,213.0,4700.0,MALE
Chinstrap,Torgersen,40.5,20.0,196.0,4900.0,FEMALE
Adelie,Biscoe,43.5,13.8,190.0,4050.0,FEMALE
Chinstrap,Biscoe,51.3,18.0,215.0,5100.0,MALE
Adelie,Biscoe,50.8,18.5,208.0,4200.0,FEMALE
Adelie,Biscoe,35.6,17.8,178.0,3800.0,FEMALE
Gentoo,Torgersen,35.5,18.7,222.0,3900.0,FEMALE
Chinstrap,Torgersen,45.5,18.6,224.0,4750.0,MALE
Gentoo,Dream,39.6,14.5,180.0,3400.0,FEMALE
Adelie,Biscoe,46.9,16.1,195.0,2700.0,MALE
Chinstrap,Dream,49.8,14.3,174.0,5400.0,MALE
Gentoo,Dream,53.5,17.1,213.0,3950.0,FEMALE
Chinstrap,Biscoe,50.4,18.0,195.0,3500.0,FEMALE
Chinstrap,Torgersen,48.7,15.2,181.0,4300.0,FEMALE
Adelie,Torgersen,45.2,15.5,186.0,3425.0,MALE
Adelie,Dream,34.6,14.5,216.0,3900.0,MALE
Gentoo,Biscoe,46.8,18.1,202.0,4450.0,MALE
Gentoo,Biscoe,36.2,17.6,198.0,4700.0,FEMALE
Adelie,Torgersen,51.3,15.1,198.0,4400.0,FEMALE
Gentoo,Torgersen,36.4,18.1,185.0,4300.0,MALE
Chinstrap,Torgersen,49.5,14.4,220.0,4450.0,FEMALE
Adelie,Dream,46.8,16.5,195.0,5000.0,MALE
Chinstrap,Dream,46.5,18.6,196.0,4450.0,FEMALE
Gentoo,Torgersen,45.7,19.0,225.0,5300.0,MALE
Chinstrap,Dream,48.5,14.5,216.0,3450.0,FEMALE
Adelie,Dream,46.2,13.9,187.0,4050.0,FEMALE
Chinstrap,Biscoe,36.6,15.1,210.0,3850.0,FEMALE
Chinstrap,Torgersen,49.6,15.9,187.0,5500.0,MALE
Adelie,Biscoe,50.5,14.1,193.0,5500.0,MALE
Adelie,Torgersen,48.8,20.7,184.0,3425.0,FEMALE
