species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,34.1,18.5,221.0,3900.0,FEMALE
Gentoo,Dream,44.5,21.2,203.0,3600.0,MALE
Chinstrap,Torgersen,48.5,15.8,193.0,5950.0,FEMALE
Adelie,Torgersen,48.4,18.7,228.0,3450.0,MALE
Chinstrap,Torgersen,34.6,14.7,198.0,4100.0,FEMALE
Gentoo,Biscoe,42.5,17.3,183.0,3950.0,FEMALE
Adelie,Torgersen,39.0,13.2,184.0,3350.0,FEMALE
Gentoo,Biscoe,51.1,17.7,187.0,4750.0,FEMALE
Chinstrap,Dream,45.3,18.5,191.0,5950.0,FEMALE
Chinstrap,Dream,39.7,20.0,189.0,3800.0,FEMALE
Chinstrap,Biscoe,35.6,20.3,196.0,4875.0,MALE
Gentoo,Biscoe,36.5,14.5,219.0,6000.0,FEMALE
Gentoo,Biscoe,39.6,15.3,196.0,3650.0,FEMALE
Adelie,Torgersen,45.7,18.0,222.0,3700.0,FEMALE
Chinstrap,Dream,51.0,17.9,210.0,4050.0,MALE
Adelie,Biscoe,42.5,14.5,192.0,4950.0,MALE
Chinstrap,Torgersen,49.1,13.8,217.0,3325.0,FEMALE
Adelie,Biscoe,43.2,17.8,208.0,4750.0,FEMALE
Adelie,Dream,46.4,19.8,214.0,3800.0,FEMALE
Chinstrap,Dream,48.2,15.1,230.0,4450.0,MALE
Gentoo,Dream,41.7,17.1,196.0,5500.0,FEMALE
Gentoo,Biscoe,45.5,17.9,188.0,4550.0,MALE
Adelie,Dream,45.7,19.1,197.0,5800.0,MALE
Chinstrap,Biscoe,39.7,16.3,184.0,3150.0,MALE
Chinstrap,Torgersen,44.4,17.0,190.0,3450.0,MALE
Chinstrap,Torgersen,47.0,17.2,186.0,3700.0,MALE
Chinstrap,Torgersen,35.7,14.6,188.0,3950.0,MALE
Chinstrap,Dream,49.5,14.2,207.0,4300.0,MALE
Chinstrap,Torgersen,35.9,18.4,205.0,3400.0,FEMALE
Gentoo,Biscoe,46.1,16.6,225.0,3750.0,MALE
Chinstrap,Dream,49.6,16.6,195.0,3475.0,MALE
Gentoo,Biscoe,45.5,21.2,203.0,5600.0,FEMALE
Gentoo,Torgersen,41.3,19.0,198.0,4475.0,MALE
Gentoo,Biscoe,45.1,16.0,178.0,5000.0,FEMALE
Adelie,Biscoe,49.7,18.0,187.0,3525.0,FEMALE
Gentoo,Dream,37.7,14.5,215.0,3050.0,FEMALE
Chinstrap,Dream,46.4,17.8,181.0,4950.0,FEMALE
Chinstrap,Torgersen,49.4,18.6,215.0,3825.0,FEMALE
Gentoo,Dream,42.7,13.7,188.0,3950.0,FEMALE
Adelie,Biscoe,54.2,18.9,192.0,5250.0,MALE
Gentoo,Biscoe,45.9,16.7,212.0,5400.0,FEMALE
Adelie,Dream,37.6,16.8,196.0,5850.0,MALE
Chinstrap,Biscoe,43.3,15.0,180.0,2900.0,FEMALE
Chinstrap,Biscoe,45.6,20.0,190.0,6000.0,MALE
Adelie,Dream,46.5,18.7,190.0,3800.0,FEMALE
Gentoo,Dream,46.7,15.8,196.0,3300.0,FEMALE
Chinstrap,Torgersen,49.3,13.7,203.0,3500.0,FEMALE
Gentoo,Biscoe,40.5,17.3,200.0,3500.0,FEMALE
Chinstrap,Dream,40.2,17.4,190.0,5100.0,MALE
Gentoo,Dream,36.6,14.8,181.0,3800.0,MALE
