species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,36.2,13.8,190.0,3750.0,FEMALE
Chinstrap,Dream,47.0,16.6,190.0,3250.0,MALE
Gentoo,Biscoe,50.2,18.2,209.0,3950.0,FEMALE
Gentoo,Dream,36.6,18.0,196.0,4675.0,MALE
Gentoo,Biscoe,50.4,14.2,205.0,5100.0,MALE
Chinstrap,Dream,46.2,13.7,210.0,3500.0,FEMALE
Chinstrap,Biscoe,41.5,14.2,216.0,3300.0,MALE
Chinstrap,Dream,42.9,19.0,193.0,3750.0,MALE
Gentoo,Biscoe,39.1,15.0,224.0,3475.0,MALE
Chinstrap,Torgersen,42.1,19.0,219.0,3150.0,MALE
Adelie,Torgersen,42.3,19.2,198.0,3750.0,MALE
Chinstrap,Biscoe,45.2,17.9,188.0,3400.0,MALE
Gentoo,Biscoe,46.5,16.2,187.0,3450.0,MALE
Chinstrap,Dream,47.8,17.2,179.0,5150.0,MALE
Adelie,Biscoe,34.6,18.5,200.0,4500.0,FEMALE
Adelie,Dream,49.0,13.7,198.0,4875.0,MALE
Gentoo,Torgersen,39.7,14.8,188.0,3700.0,FEMALE
Chinstrap,Biscoe,33.1,14.2,201.0,3775.0,FEMALE
Gentoo,Dream,42.0,17.9,212.0,5500.0,MALE
Gentoo,Dream,44.1,17.9,185.0,4450.0,FEMALE
Chinstrap,Torgersen,43.5,14.5,208.0,5750.0,MALE
Adelie,Dream,39.6,18.5,196.0,4925.0,FEMALE
Adelie,Dream,45.7,15.8,189.0,3900.0,FEMALE
Gentoo,Torgersen,40.3,15.9,209.0,3700.0,MALE
Chinstrap,Dream,41.6,16.3,192.0,4075.0,FEMALE
Chinstrap,Torgersen,40.6,18.9,178.0,5500.0,FEMALE
Chinstrap,Biscoe,48.5,19.2,195.0,5000.0,MALE
Chinstrap,Dream,35.6,18.6,190.0,4550.0,MALE
Chinstrap,Torgersen,55.1,18.6,205.0,3675.0,FEMALE
Chinstrap,Biscoe,38.8,14.7,210.0,4300.0,FEMALE
Chinstrap,Torgersen,50.2,18.4,209.0,4400.0,MALE
Chinstrap,Biscoe,38.6,15.0,181.0,3950.0,MALE
Gentoo,Torgersen,46.2,17.7,217.0,4200.0,FEMALE
Adelie,Dream,51.3,13.7,229.0,3000.0,MALE
Chinstrap,Dream,50.5,19.0,221.0,3750.0,MALE
Gentoo,Biscoe,47.6,16.0,191.0,4500.0,MALE
Adelie,Torgersen,34.1,17.9,189.0,3950.0,MALE
Gentoo,Dream,42.1,19.6,188.0,4200.0,FEMALE
Adelie,Dream,45.4,16.3,192.0,3150.0,FEMALE
Gentoo,Dream,50.4,17.0,190.0,4075.0,FEMALE
Adelie,Biscoe,38.1,13.9,191.0,2850.0,MALE
Adelie,Biscoe,48.4,15.1,185.0,3725.0,FEMALE
Adelie,Biscoe,45.5,18.3,225.0,4000.0,MALE
Gentoo,Biscoe,42.6,14.3,216.0,4600.0,MALE
Gentoo,Dream,45.0,16.8,222.0,3650.0,FEMALE
Chinstrap,Torgersen,46.5,15.9,195.0,3600.0,FEMALE
Adelie,Biscoe,37.8,15.2,178.0,3900.0,FEMALE
Adelie,Biscoe,47.6,13.3,203.0,5150.0,MALE
Chinstrap,Dream,40.7,18.6,222.0,3050.0,MALE
Gentoo,Dream,51.5,17.9,198.0,5800.0,MALE
