species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,50.5,20.2,199.0,4725.0,FEMALE
Chinstrap,Dream,40.3,16.5,191.0,3250.0,MALE
Adelie,Dream,46.8,19.4,197.0,3075.0,MALE
Gentoo,Dream,40.9,18.6,193.0,6300.0,MALE
Chinstrap,Torgersen,52.0,13.5,190.0,3950.0,MALE
Adelie,Dream,39.5,16.1,225.0,5400.0,FEMALE
Gentoo,Dream,49.7,19.8,197.0,4575.0,MALE
Gentoo,Torgersen,41.6,15.8,191.0,4300.0,FEMALE
Chinstrap,Dream,40.2,17.6,180.0,3500.0,FEMALE
Gentoo,Biscoe,40.8,16.3,198.0,3350.0,FEMALE
Chinstrap,Torgersen,45.9,19.0,213.0,3400.0,MALE
Gentoo,Biscoe,34.6,15.9,184.0,5400.0,MALE
Chinstrap,Dream,51.3,14.2,185.0,4150.0,MALE
Chinstrap,Dream,50.6,14.8,209.0,5400.0,FEMALE
Chinstrap,Torgersen,45.2,14.6,184.0,3900.0,FEMALE
Chinstrap,Biscoe,46.4,15.7,222.0,3700.0,MALE
Adelie,Torgersen,49.5,20.7,185.0,3950.0,MALE
Adelie,Dream,45.4,14.7,210.0,3700.0,MALE
Gentoo,Dream,47.6,15.8,189.0,4925.0,FEMALE
Gentoo,Biscoe,38.1,15.9,187.0,4700.0,FEMALE
Gentoo,Torgersen,44.1,18.6,228.0,4400.0,MALE
Gentoo,Dream,37.6,20.3,222.0,5050.0,FEMALE
Gentoo,Torgersen,36.2,15.0,200.0,3900.0,FEMALE
Gentoo,Torgersen,33.1,18.8,195.0,3400.0,FEMALE
Adelie,Dream,50.1,16.8,202.0,5450.0,MALE
Chinstrap,Biscoe,51.4,17.0,217.0,4400.0,MALE
Adelie,Biscoe,49.4,17.6,197.0,3800.0,FEMALE
Adelie,Torgersen,36.6,14.2,221.0,4350.0,FEMALE
Gentoo,Biscoe,49.5,19.0,222.0,3325.0,FEMALE
Adelie,Biscoe,49.0,16.4,195.0,4000.0,MALE
Gentoo,Dream,39.5,16.1,191.0,4450.0,MALE
Chinstrap,Biscoe,45.2,14.2,191.0,4150.0,MALE
Gentoo,Biscoe,49.0,17.8,189.0,3500.0,FEMALE
Chinstrap,Biscoe,50.8,17.5,190.0,4850.0,MALE
Gentoo,Dream,45.2,16.0,193.0,4000.0,MALE
Gentoo,Dream,40.5,13.1,225.0,3550.0,FEMALE
Adelie,Dream,46.2,17.0,190.0,3675.0,FEMALE
Chinstrap,Biscoe,50.0,18.3,187.0,5650.0,FEMALE
Adelie,Torgersen,46.5,16.6,191.0,2900.0,FEMALE
Chinstrap,Torgersen,46.7,17.5,184.0,3750.0,FEMALE
Adelie,Biscoe,40.5,14.0,195.0,3700.0,MALE
Adelie,Torgersen,36.3,16.7,199.0,5550.0,FEMALE
Adelie,Biscoe,47.5,20.3,188.0,3800.0,MALE
Adelie,Biscoe,36.6,18.9,230.0,3900.0,FEMALE
Gentoo,Biscoe,46.5,17.8,215.0,5550.0,FEMALE
Adelie,Biscoe,34.5,18.9,228.0,3800.0,MALE
Adelie,Biscoe,41.0,17.1,203.0,3700.0,FEMALE
Gentoo,Biscoe,43.1,20.8,199.0,4700.0,MALE
Adelie,Biscoe,41.5,18.0,211.0,5100.0,MALE
Chinstrap,Dream,48.6,13.7,181.0,5000.0,MALE
