species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Torgersen,44.5,18.6,222.0,3400.0,FEMALE
Gentoo,Torgersen,40.6,18.9,231.0,3050.0,FEMALE
Chinstrap,Torgersen,41.5,15.9,208.0,4400.0,MALE
Chinstrap,Biscoe,45.7,19.5,210.0,5200.0,MALE
Gentoo,Biscoe,40.9,14.2,185.0,3550.0,FEMALE
Adelie,Torgersen,39.5,17.0,190.0,5050.0,MALE
Gentoo,Biscoe,49.1,15.8,180.0,3600.0,FEMALE
Gentoo,Torgersen,37.9,18.7,191.0,5400.0,MALE
Chinstrap,Dream,36.8,16.8,224.0,5950.0,FEMALE
Gentoo,Dream,41.3,18.6,214.0,3950.0,MALE
Chinstrap,Biscoe,41.7,19.8,221.0,3350.0,MALE
Chinstrap,Torgersen,36.6,14.8,216.0,3650.0,MALE
Adelie,Dream,41.8,14.6,220.0,3650.0,MALE
Gentoo,Dream,40.3,17.5,195.0,3900.0,FEMALE
Chinstrap,Torgersen,44.5,14.8,194.0,3600.0,FEMALE
Gentoo,Torgersen,50.7,17.5,199.0,3350.0,FEMALE
Adelie,Biscoe,37.2,20.0,187.0,4450.0,MALE
Adelie,Dream,42.8,18.4,230.0,5350.0,FEMALE
Chinstrap,Dream,39.7,18.7,195.0,5800.0,FEMALE
Gentoo,Dream,47.0,17.0,181.0,5500.0,FEMALE
Chinstrap,Biscoe,59.6,16.6,189.0,4975.0,MALE
Chinstrap,Dream,40.2,15.0,224.0,4050.0,MALE
Chinstrap,Dream,44.5,19.2,209.0,3250.0,FEMALE
Chinstrap,Dream,36.4,18.4,218.0,5300.0,FEMALE
Adelie,Torgersen,38.6,17.2,220.0,5000.0,FEMALE
Gentoo,Dream,50.0,16.6,190.0,4750.0,MALE
Gentoo,Dream,50.5,18.1,184.0,3950.0,MALE
Chinstrap,Biscoe,46.8,14.0,180.0,3500.0,FEMALE
Gentoo,Dream,50.8,16.1,202.0,3625.0,MALE
Chinstrap,Torgersen,46.7,19.2,187.0,3500.0,MALE
Gentoo,Dream,50.7,17.3,226.0,2900.0,MALE
Chinstrap,Torgersen,34.4,14.2,195.0,4100.0,FEMALE
Chinstrap,Dream,43.1,17.1,212.0,5700.0,MALE
Gentoo,Biscoe,49.6,17.8,191.0,4750.0,FEMALE
Gentoo,Biscoe,41.3,19.0,216.0,5800.0,FEMALE
Chinstrap,Dream,50.4,17.5,186.0,3425.0,FEMALE
Adelie,Dream,49.6,18.0,199.0,3650.0,MALE
Gentoo,Biscoe,39.0,18.1,203.0,5350.0,FEMALE
Chinstrap,Dream,43.4,18.5,187.0,3325.0,MALE
Gentoo,Biscoe,42.0,17.4,218.0,4050.0,MALE
Adelie,Torgersen,43.8,14.3,209.0,3325.0,MALE
Gentoo,Biscoe,58.0,17.0,219.0,4100.0,FEMALE
Adelie,Dream,49.3,17.3,191.0,5150.0,MALE
Chinstrap,Dream,48.2,18.7,225.0,3700.0,FEMALE
Chinstrap,Dream,39.7,13.5,189.0,4075.0,MALE
Chinstrap,Dream,41.1,18.4,191.0,3400.0,MALE
Chinstrap,Biscoe,41.3,20.0,186.0,5750.0,MALE
Adelie,Biscoe,52.2,18.7,191.0,5650.0,MALE
Adelie,Dream,49.8,15.0,194.0,3975.0,FEMALE
Adelie,Biscoe,51.1,18.8,184.0,3850.0,MALE
