species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,45.5,16.3,202.0,3675.0,MALE
Gentoo,Dream,48.1,20.0,195.0,3200.0,MALE
Adelie,Dream,48.2,17.0,190.0,5300.0,FEMALE
Adelie,Biscoe,46.6,19.9,191.0,5350.0,MALE
Chinstrap,Torgersen,47.6,14.1,185.0,4800.0,FEMALE
Chinstrap,Biscoe,38.9,17.0,214.0,3800.0,FEMALE
Gentoo,Torgersen,45.6,19.4,214.0,4275.0,MALE
Gentoo,Torgersen,45.5,19.8,222.0,3100.0,FEMALE
Chinstrap,Torgersen,37.8,15.8,229.0,4100.0,MALE
Adelie,Dream,46.2,17.6,189.0,3250.0,MALE
Chinstrap,Torgersen,41.1,19.6,221.0,3350.0,MALE
Chinstrap,Biscoe,41.8,15.3,218.0,4800.0,MALE
Adelie,Biscoe,49.1,17.1,191.0,4650.0,FEMALE
Adelie,Biscoe,48.5,17.6,190.0,3900.0,FEMALE
Adelie,Biscoe,37.8,14.6,222.0,5000.0,FEMALE
Adelie,Biscoe,36.7,14.3,199.0,4300.0,MALE
Adelie,Dream,41.6,14.3,178.0,3075.0,FEMALE
Adelie,Torgersen,51.3,20.7,220.0,4000.0,FEMALE
Gentoo,Biscoe,34.6,18.1,191.0,2700.0,MALE
Chinstrap,Dream,46.2,17.9,197.0,5550.0,FEMALE
Gentoo,Biscoe,48.4,14.2,180.0,3500.0,FEMALE
Gentoo,Biscoe,45.2,14.2,219.0,3550.0,MALE
Chinstrap,Biscoe,47.5,13.3,183.0,5150.0,MALE
Gentoo,Biscoe,49.5,14.8,228.0,3350.0,FEMALE
Gentoo,Biscoe,46.7,16.4,220.0,3900.0,MALE
Chinstrap,Torgersen,39.2,18.7,194.0,3900.0,FEMALE
Chinstrap,Biscoe,46.5,18.1,222.0,4250.0,FEMALE
Adelie,Torgersen,49.8,18.1,230.0,4150.0,FEMALE
Chinstrap,Dream,33.5,16.5,200.0,3675.0,FEMALE
Gentoo,Biscoe,40.5,19.5,188.0,4575.0,FEMALE
Chinstrap,Biscoe,46.5,15.9,228.0,4700.0,MALE
Chinstrap,Torgersen,35.5,18.1,185.0,3425.0,MALE
Adelie,Torgersen,41.1,18.4,185.0,3050.0,MALE
Adelie,Dream,35.0,15.9,216.0,3750.0,MALE
Gentoo,Torgersen,50.8,15.0,190.0,4100.0,MALE
Gentoo,Biscoe,50.5,19.5,187.0,3725.0,MALE
Chinstrap,Torgersen,50.8,17.8,187.0,3950.0,FEMALE
Gentoo,Torgersen,45.5,15.8,191.0,3250.0,FEMALE
Gentoo,Biscoe,32.1,19.3,222.0,3550.0,MALE
Gentoo,Biscoe,39.2,15.7,187.0,5500.0,MALE
Adelie,Dream,41.1,16.5,192.0,3200.0,MALE
Gentoo,Biscoe,38.6,16.2,219.0,4875.0,MALE
Chinstrap,Dream,45.2,19.0,181.0,4750.0,FEMALE
Chinstrap,Biscoe,49.9,18.6,185.0,2900.0,FEMALE
Gentoo,Biscoe,41.5,15.7,230.0,4450.0,FEMALE
Chinstrap,Biscoe,44.1,18.8,181.0,3300.0,FEMALE
Gentoo,Biscoe,48.1,16.8,221.0,4200.0,MALE
Chinstrap,Biscoe,42.0,19.0,214.0,4075.0,MALE
Adelie,Biscoe,41.5,16.1,197.0,3300.0,MALE
Chinstrap,Torgersen,50.5,19.6,197.0,3800.0,MALE
