species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,42.5,18.3,230.0,4300.0,MALE
Gentoo,Dream,36.3,14.8,217.0,4725.0,FEMALE
Chinstrap,Torgersen,41.1,18.6,196.0,3900.0,MALE
Chinstrap,Torgersen,49.9,17.8,199.0,3525.0,FEMALE
Adelie,Biscoe,38.6,18.9,208.0,3300.0,FEMALE
Chinstrap,Biscoe,49.5,19.9,185.0,5500.0,FEMALE
Adelie,Dream,47.0,14.6,198.0,3450.0,MALE
Gentoo,Torgersen,36.0,14.8,182.0,4700.0,MALE
Gentoo,Biscoe,43.4,16.2,196.0,6000.0,MALE
Adelie,Biscoe,39.6,15.3,180.0,3550.0,FEMALE
Chinstrap,Dream,41.3,20.8,191.0,3950.0,MALE
Gentoo,Torgersen,44.5,19.4,228.0,4250.0,FEMALE
Gentoo,Torgersen,49.4,16.5,213.0,4050.0,MALE
Adelie,Biscoe,50.2,17.5,212.0,4650.0,MALE
Adelie,Dream,35.9,14.2,186.0,3450.0,FEMALE
Chinstrap,Torgersen,49.5,17.9,230.0,3450.0,FEMALE
Adelie,Biscoe,38.6,17.9,191.0,5400.0,FEMALE
Gentoo,Torgersen,34.1,14.8,189.0,3675.0,FEMALE
Chinstrap,Torgersen,34.6,17.9,180.0,3175.0,FEMALE
Adelie,Dream,39.6,15.6,195.0,3500.0,FEMALE
Chinstrap,Biscoe,52.7,17.8,214.0,3750.0,FEMALE
Chinstrap,Dream,45.6,16.0,205.0,3875.0,MALE
Adelie,Torgersen,41.1,18.1,196.0,4850.0,MALE
Gentoo,Dream,38.1,18.5,197.0,4500.0,MALE
Gentoo,Torgersen,46.1,13.8,188.0,5500.0,MALE
Gentoo,Torgersen,48.1,18.9,198.0,4625.0,MALE
Chinstrap,Dream,47.0,14.6,213.0,3075.0,MALE
Adelie,Torgersen,38.9,14.5,187.0,3600.0,MALE
Adelie,Torgersen,37.8,17.7,210.0,4850.0,MALE
Gentoo,Biscoe,37.3,15.0,206.0,4100.0,FEMALE
Adelie,Dream,38.9,14.2,196.0,3400.0,MALE
Adelie,Dream,45.8,19.8,215.0,4600.0,FEMALE
Adelie,Torgersen,40.8,17.9,181.0,4800.0,MALE
Gentoo,Dream,43.8,20.7,187.0,3950.0,MALE
Gentoo,Dream,37.8,18.4,190.0,5350.0,MALE
Chinstrap,Biscoe,44.4,18.1,209.0,3300.0,MALE
Gentoo,Dream,48.6,18.9,217.0,4050.0,MALE
Gentoo,Torgersen,46.8,15.6,190.0,4850.0,FEMALE
Chinstrap,Dream,35.7,13.8,191.0,3900.0,FEMALE
Chinstrap,Biscoe,37.8,14.4,216.0,4250.0,FEMALE
Chinstrap,Torgersen,51.9,18.1,190.0,4275.0,FEMALE
Chinstrap,Biscoe,42.5,13.9,190.0,5050.0,FEMALE
Adelie,Dream,37.3,18.6,206.0,2975.0,MALE
Chinstrap,Biscoe,48.4,13.5,208.0,3200.0,MALE
Adelie,Torgersen,37.8,19.0,192.0,5650.0,MALE
Adelie,Torgersen,37.3,17.5,221.0,4300.0,MALE
Chinstrap,Torgersen,40.2,15.9,213.0,3150.0,FEMALE
Adelie,Torgersen,46.1,16.1,187.0,5300.0,MALE
Chinstrap,Biscoe,49.1,21.5,205.0,4675.0,MALE
Gentoo,Dream,45.3,16.1,213.0,4850.0,FEMALE
